NoteID,LocalStudentID,StudentName,CreatedBy,CreatedDate,NoteType,NoteText,PrimaryPathway,BackupPathway,RecommendedCourse,RecommendedAssessment,Barrier,FollowUpDate,ActionStatus,ActionOwner,ConfidentialFlag
N014,S10014,Isabella Martinez,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-15,Open,E. Johnson,No
N015,S10015,Elijah Rodriguez,A. Nguyen,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-16,Open,A. Nguyen,No
N016,S10016,Aria Wilson,B. Patel,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-17,Completed,B. Patel,No
N017,S10017,Lucas Anderson,C. Williams,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-18,Open,C. Williams,No
N018,S10018,Valeria Moore,D. Garcia,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,Attendance,2025-06-19,Open,D. Garcia,No
N019,S10019,Mason Lee,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-20,Open,E. Johnson,No
N020,S10020,Avery Garcia,A. Nguyen,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-01,Completed,A. Nguyen,No
N021,S10021,Jordan Brown,B. Patel,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-02,Open,B. Patel,No
N022,S10022,Riley Miller,C. Williams,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-03,Open,C. Williams,No
N023,S10023,Mateo Lopez,D. Garcia,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-04,Open,D. Garcia,No
N024,S10024,Sofia Thomas,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,Attendance,2025-06-05,Completed,E. Johnson,No
N025,S10025,Noah Jackson,A. Nguyen,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-06,Open,A. Nguyen,No
N026,S10026,Emma Perez,B. Patel,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-07,Open,B. Patel,No
N027,S10027,Liam Johnson,C. Williams,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-08,Open,C. Williams,No
N028,S10028,Mia Davis,D. Garcia,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-09,Completed,D. Garcia,No
N029,S10029,Ethan Hernandez,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-10,Open,E. Johnson,No
N030,S10030,Olivia Gonzalez,A. Nguyen,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,Attendance,2025-06-11,Open,A. Nguyen,No
N031,S10031,Diego Taylor,B. Patel,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-12,Open,B. Patel,No
N032,S10032,Camila Martin,C. Williams,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-13,Completed,C. Williams,No
N033,S10033,Jayden Thompson,D. Garcia,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-14,Open,D. Garcia,No
N034,S10034,Isabella Martinez,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-15,Open,E. Johnson,No
N035,S10035,Elijah Rodriguez,A. Nguyen,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-16,Open,A. Nguyen,No
N036,S10036,Aria Wilson,B. Patel,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,Attendance,2025-06-17,Completed,B. Patel,No
N037,S10037,Lucas Anderson,C. Williams,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-18,Open,C. Williams,No
N038,S10038,Valeria Moore,D. Garcia,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-19,Open,D. Garcia,No
N039,S10039,Mason Lee,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-20,Open,E. Johnson,No
N040,S10040,Avery Garcia,A. Nguyen,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-01,Completed,A. Nguyen,No
N041,S10041,Jordan Brown,B. Patel,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-02,Open,B. Patel,No
N042,S10042,Riley Miller,C. Williams,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,Attendance,2025-06-03,Open,C. Williams,No
N043,S10043,Mateo Lopez,D. Garcia,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-04,Open,D. Garcia,No
N044,S10044,Sofia Thomas,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-05,Completed,E. Johnson,No
N045,S10045,Noah Jackson,A. Nguyen,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-06,Open,A. Nguyen,No
N046,S10046,Emma Perez,B. Patel,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-07,Open,B. Patel,No
N047,S10047,Liam Johnson,C. Williams,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-08,Open,C. Williams,No
N048,S10048,Mia Davis,D. Garcia,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,Attendance,2025-06-09,Completed,D. Garcia,No
N049,S10049,Ethan Hernandez,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-10,Open,E. Johnson,No
N050,S10050,Olivia Gonzalez,A. Nguyen,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-11,Open,A. Nguyen,No
N051,S10051,Diego Taylor,B. Patel,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-12,Open,B. Patel,No
N052,S10052,Camila Martin,C. Williams,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-13,Completed,C. Williams,No
N053,S10053,Jayden Thompson,D. Garcia,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,None,2025-06-14,Open,D. Garcia,No
N054,S10054,Isabella Martinez,E. Johnson,2025-05-01,Conference,Reviewed CCMR pathway,SAT,CTE,Next math course,TSIA2 Math,Attendance,2025-06-15,Open,E. Johnson,No
